query_mass,compound_id,formula,compound_mass,adduct,adduct_type,adduct_mass,delta
210.062,HMDB00289,C5H4N4O3,168.028340014,M+ACN+H,+,210.062163,0.000163
210.062,HMDB05792,C6H11NOS2,177.028205359,M+CH3OH+H,+,210.061694,0.000306
210.062,HMDB38416,C13H23NO9S2,401.081422719,M+H+NH4,+,210.061261,0.000739
210.062,HMDB00094,C6H8O7,192.02700261,M+NH4,+,210.060826,0.001174
210.062,HMDB00193,C6H8O7,192.02700261,M+NH4,+,210.060826,0.001174
210.062,HMDB01874,C6H8O7,192.02700261,M+NH4,+,210.060826,0.001174
210.062,HMDB05971,C6H8O7,192.02700261,M+NH4,+,210.060826,0.001174
210.062,HMDB06511,C6H8O7,192.02700261,M+NH4,+,210.060826,0.001174
210.062,HMDB33717,C6H8O7,192.02700261,M+NH4,+,210.060826,0.001174
210.062,HMDB41862,C6H8O7,192.02700261,M+NH4,+,210.060826,0.001174
210.062,HMDB12228,C2H7O4P,126.008195224,M+IsoProp+Na+H,+,210.063305,0.001305
210.062,HMDB15496,C10H9N3O,187.074561925,M+Na,+,210.06378,0.00178
210.062,HMDB37847,C18H24N2O7,380.158351132,M+H+K,+,210.064393,0.002393
210.062,HMDB59977,C12H16O9S,336.0515028,M+2ACN+2H,+,210.059574,0.002426
210.062,HMDB38007,C27H31O17,627.156124566,M+3H,+,210.059318,0.002682
210.062,HMDB38006,C27H31O17,627.156124566,M+3H,+,210.059318,0.002682
210.062,HMDB30693,C27H31O17,627.156124566,M+3H,+,210.059318,0.002682
210.062,HMDB41594,C27H31O17,627.156124566,M+3H,+,210.059318,0.002682
210.062,HMDB40899,C19H24O8,380.147117744,M+H+K,+,210.058776,0.003224
210.062,HMDB38328,C19H24O8,380.147117744,M+H+K,+,210.058776,0.003224
210.062,HMDB38450,C19H24O8,380.147117744,M+H+K,+,210.058776,0.003224
210.062,HMDB37056,C19H24O8,380.147117744,M+H+K,+,210.058776,0.003224
210.062,HMDB36893,C19H24O8,380.147117744,M+H+K,+,210.058776,0.003224
210.062,HMDB40674,C22H20O7,396.120902994,M+H+Na,+,210.058698,0.003302
210.062,HMDB35465,C22H20O7,396.120902994,M+H+Na,+,210.058698,0.003302
210.062,HMDB14411,C19H12O6,336.063388116,M+2ACN+2H,+,210.065517,0.003517
210.062,HMDB34129,C19H12O6,336.063388116,M+2ACN+2H,+,210.065517,0.003517
