query_mass,compound_id,formula,compound_mass,adduct,adduct_type,adduct_mass,delta
340.1959,HMDB31694,C14H26O8,322.162767808,M+NH4,+,340.196591,0.000691
340.1959,HMDB37844,C11H21NO7,279.131802031,M+IsoProp+H,+,340.197142,0.001242
340.1959,HMDB14616,C16H23NO2,261.172878985,M+DMSO+H,+,340.194099,0.001801
340.1959,HMDB02288,C35H58N7O17P3S,973.282273691,M+H+2Na,+,340.193615,0.002285
340.1959,HMDB12471,C35H58N7O17P3S,973.282273691,M+H+2Na,+,340.193615,0.002285
340.1959,HMDB35917,C36H58O9,634.408083454,M+2Na,+,340.19326,0.00264
340.1959,HMDB35966,C36H58O9,634.408083454,M+2Na,+,340.19326,0.00264
340.1959,HMDB29606,C36H58O9,634.408083454,M+2Na,+,340.19326,0.00264
340.1959,HMDB39329,C36H58O9,634.408083454,M+2Na,+,340.19326,0.00264
340.1959,HMDB38452,C36H58O9,634.408083454,M+2Na,+,340.19326,0.00264
340.1959,HMDB29621,C36H58O9,634.408083454,M+2Na,+,340.19326,0.00264
340.1959,HMDB41094,C33H58O14,678.382656564,M+2H,+,340.198604,0.002704
340.1959,HMDB15555,C16H24N2O2,276.183778022,M+ACN+Na,+,340.199543,0.003643
340.1959,HMDB61010,C16H24N2O2,276.183778022,M+ACN+Na,+,340.199543,0.003643
340.1959,ECMDB23539,C30H56NO11P,637.359098151,M+ACN+2H,+,340.200099,0.004199
340.1959,ECMDB23551,C30H56NO11P,637.359098151,M+ACN+2H,+,340.200099,0.004199
340.1959,ECMDB23555,C30H56NO11P,637.359098151,M+ACN+2H,+,340.200099,0.004199
340.1959,ECMDB23568,C30H56NO11P,637.359098151,M+ACN+2H,+,340.200099,0.004199
340.1959,ECMDB23571,C30H56NO11P,637.359098151,M+ACN+2H,+,340.200099,0.004199
340.1959,ECMDB23585,C30H56NO11P,637.359098151,M+ACN+2H,+,340.200099,0.004199
340.1959,HMDB38833,C18H17NO2,279.125928793,M+IsoProp+H,+,340.191269,0.004631
340.1959,HMDB38651,C18H17NO2,279.125928793,M+IsoProp+H,+,340.191269,0.004631
340.1959,HMDB30219,C18H17NO2,279.125928793,M+IsoProp+H,+,340.191269,0.004631
340.1959,HMDB30194,C18H17NO2,279.125928793,M+IsoProp+H,+,340.191269,0.004631
340.1959,HMDB30264,C18H17NO2,279.125928793,M+IsoProp+H,+,340.191269,0.004631
340.1959,HMDB38650,C18H17NO2,279.125928793,M+IsoProp+H,+,340.191269,0.004631
340.1959,HMDB41439,C18H17NO2,279.125928793,M+IsoProp+H,+,340.191269,0.004631
340.1959,HMDB30209,C18H17NO2,279.125928793,M+IsoProp+H,+,340.191269,0.004631
340.1959,HMDB38621,C18H17NO2,279.125928793,M+IsoProp+H,+,340.191269,0.004631
340.1959,HMDB34205,C50H83NO20,1017.550844101,M+3H,+,340.190891,0.005009
340.1959,HMDB40811,C21H25NO3,339.183443671,M+H,+,340.19072,0.00518
340.1959,HMDB41089,C19H22O3,298.15689457,M+ACN+H,+,340.190718,0.005182
340.1959,HMDB34054,C19H22O3,298.15689457,M+ACN+H,+,340.190718,0.005182
340.1959,HMDB30729,C19H22O3,298.15689457,M+ACN+H,+,340.190718,0.005182
340.1959,HMDB33711,C19H22O3,298.15689457,M+ACN+H,+,340.190718,0.005182
340.1959,HMDB33680,C17H20O2,256.146329884,M+IsoProp+Na+H,+,340.20144,0.00554
340.1959,HMDB39125,C16H19NO2,257.141578857,M+2ACN+H,+,340.201949,0.006049
340.1959,HMDB05023,C19H21N3O,307.168462309,M+CH3OH+H,+,340.201951,0.006051
340.1959,HMDB03447,C10H11NO,161.084063979,2M+NH4,+,340.201951,0.006051
340.1959,HMDB15670,C19H21N3O,307.168462309,M+CH3OH+H,+,340.201951,0.006051
340.1959,HMDB40047,C9H11NO,149.084063979,2M+ACN+H,+,340.201951,0.006051
340.1959,HMDB30267,C10H11NO,161.084063979,2M+NH4,+,340.201951,0.006051
340.1959,HMDB40050,C9H11NO,149.084063979,2M+ACN+H,+,340.201951,0.006051
340.1959,HMDB40051,C9H11NO,149.084063979,2M+ACN+H,+,340.201951,0.006051
340.1959,HMDB40043,C9H11NO,149.084063979,2M+ACN+H,+,340.201951,0.006051
340.1959,HMDB40028,C10H11NO,161.084063979,2M+NH4,+,340.201951,0.006051
340.1959,HMDB30202,C18H22N2O2,298.168127958,M+ACN+H,+,340.201951,0.006051
340.1959,HMDB38832,C18H22N2O2,298.168127958,M+ACN+H,+,340.201951,0.006051
340.1959,HMDB39662,C9H11NO,149.084063979,2M+ACN+H,+,340.201951,0.006051
340.1959,HMDB40016,C9H11NO,149.084063979,2M+ACN+H,+,340.201951,0.006051
340.1959,HMDB40042,C10H11NO,161.084063979,2M+NH4,+,340.201951,0.006051
340.1959,HMDB40029,C9H11NO,149.084063979,2M+ACN+H,+,340.201951,0.006051
340.1959,HMDB30175,C9H11NO,149.084063979,2M+ACN+H,+,340.201951,0.006051
340.1959,HMDB40048,C10H11NO,161.084063979,2M+NH4,+,340.201951,0.006051
340.1959,HMDB14497,C20H25N3O2,339.194677059,M+H,+,340.201953,0.006053
340.1959,HMDB06320,C16H31NO4,301.225308485,M+K,+,340.188466,0.007434
340.1959,HMDB13288,C16H31NO4,301.225308485,M+K,+,340.188466,0.007434
340.1959,HMDB14869,C19H27NO3,317.199093735,M+Na,+,340.188312,0.007588
340.1959,HMDB15592,C19H27NO3,317.199093735,M+Na,+,340.188312,0.007588
340.1959,HMDB15586,C17H24O3,276.172544634,M+ACN+Na,+,340.18831,0.00759
340.1959,HMDB40375,C17H24O3,276.172544634,M+ACN+Na,+,340.18831,0.00759
340.1959,HMDB41201,C17H24O3,276.172544634,M+ACN+Na,+,340.18831,0.00759
340.1959,HMDB38994,C17H24O3,276.172544634,M+ACN+Na,+,340.18831,0.00759
340.1959,HMDB38938,C17H24O3,276.172544634,M+ACN+Na,+,340.18831,0.00759
340.1959,HMDB31463,C17H24O3,276.172544634,M+ACN+Na,+,340.18831,0.00759
340.1959,HMDB15223,C23H27N,317.214349869,M+Na,+,340.203568,0.007668
340.1959,HMDB14520,C20H31NO,301.240564619,M+K,+,340.203723,0.007823
340.1959,HMDB34693,C36H54O12,678.361527192,M+2H,+,340.18804,0.00786
340.1959,HMDB33572,C36H54O12,678.361527192,M+2H,+,340.18804,0.00786
340.1959,HMDB35233,C15H18N6O,298.154209228,M+ACN+H,+,340.188032,0.007868
340.1959,HMDB28738,C13H17N3O4,279.121906047,M+IsoProp+H,+,340.187246,0.008654
340.1959,HMDB28990,C13H17N3O4,279.121906047,M+IsoProp+H,+,340.187246,0.008654
340.1959,HMDB31772,C13H20O5,256.13107375,M+IsoProp+Na+H,+,340.186184,0.009716
340.1959,HMDB40352,C13H20O5,256.13107375,M+IsoProp+Na+H,+,340.186184,0.009716
340.1959,ECMDB23440,C25H50NO10P,555.317233812,M+3ACN+2H,+,340.205714,0.009814
340.1959,HMDB15204,C20H22N2S,322.150369404,M+NH4,+,340.184192,0.011708
340.1959,HMDB15376,C18H22N2S,298.150369404,M+ACN+H,+,340.184192,0.011708
340.1959,HMDB38319,C9H16N6O3,256.128388408,M+IsoProp+Na+H,+,340.183498,0.012402
340.1959,ECMDB23637,C31H61O11P,640.395149306,M+H+K,+,340.182792,0.013108
340.1959,ECMDB23685,C31H61O11P,640.395149306,M+H+K,+,340.182792,0.013108
340.1959,HMDB29780,C39H54O7,634.386954082,M+2Na,+,340.182695,0.013205
340.1959,HMDB40667,C39H54O7,634.386954082,M+2Na,+,340.182695,0.013205
340.1959,HMDB61635,C16H31NO5,317.220223107,M+Na,+,340.209441,0.013541
